barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#153,NBO,Journal of national building org.& in Resional housing Centre Escape,,,1977,"75p,",ARC,,,ARC,,1.5,,,,,,,,
LGARC#154,NBO,Technical Report 26 u.c.c.333-332-3 Benifits of Subsidizes Housing to industrial workers,,NBO,,115p,ARC,,,ARC,,11.5,,,,,,,,
LGARC#155,NBO,"N.b.org.vde.691-321,69.057-1-69-024 july 78 pricast unit floor /roof for low cost housing",,NBO,1978,p,ARC,,,ARC,,4.15,,,,,,,,
LGARC#156,NBO,N.Borg and R.H.S.escape housing Delhi Millions1958-73,,NBO,1976,76p,ARC,,,ARC,,16.5,,,,,,,,
LGARC#157,NBO & DDA,Delhi Development authority and N.B.O.low cost demonstration houses,,NBO,,p,ARC,,,ARC,,15,,,,,,,,
LGARC#158,N.B.O.,Rural Housing and Village Planning,,NBO,,356p,ARC,,,ARC,,11,,,,,,,,
LGARC#159,N.B.O.,Typical Design of Small span timber,,NBO-10,,57p,ARC,,,ARC,,2.25,,,,,,,,
LGARC#160,,Mordern timber engineering techniques,,NBO,,94p,ARC,,,ARC,,9.5,,,,,,,,
LGARC#161,NBO,All India standard schedule of rates 1977,,NBO,1977,",435p",ARC,,,ARC,,27,,,,,,,,
LGARC#162,NBO,Economy in the use of cement in building construction,,NBO-10,1957,15p,ARC,,,ARC,,0.55,,,,,,,,
LGARC#163,NBO,Low cost housing,,NBO,,146p,ARC,,,ARC,,2.5,,,,,,,,
LGARC#164,NBO,"R.C.C Frames for door ,Windows, duly 1978",,NBO,1978,p,ARC,,,ARC,,0.75,,,,,,,,
LGARC#165,N.B.O.,Precast record for Low cost,,NBO,1976,p,ARC,,,ARC,,0.75,,,,,,,,
LGARC#166,N.B.O.,Partial replacement of cement in conc. and mortar,,NBO,1976,p,ARC,,,ARC,,0.75,,,,,,,,
